epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,12271.3,1.43072,1.2465,0.01332,0.80142,0.71363,0.79878,0.54096,1.27997,0.95289,0.01472,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,12566.9,1.4466,1.25173,0.01364,0.8056,0.71351,0.80074,0.5421,1.27957,0.94573,0.01467,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,12862.8,1.43295,1.21955,0.0133,0.80096,0.71476,0.80092,0.54235,1.27901,0.94302,0.01467,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,13157.4,1.43226,1.22946,0.01323,0.80766,0.71224,0.80273,0.54372,1.27829,0.93825,0.01468,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,13452.3,1.41996,1.21371,0.01338,0.80227,0.7143,0.80299,0.54386,1.27707,0.93625,0.01465,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,13748.6,1.41265,1.20688,0.01329,0.80638,0.71017,0.80199,0.54388,1.27748,0.9351,0.01467,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,14044.2,1.42693,1.2207,0.01339,0.80888,0.71182,0.80346,0.54521,1.27454,0.9377,0.01464,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,14340.1,1.41479,1.19679,0.01326,0.80489,0.71506,0.80384,0.54546,1.27505,0.93557,0.01465,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,14635.2,1.41825,1.19114,0.01328,0.80573,0.71441,0.80346,0.54556,1.27376,0.93404,0.01462,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,14928.5,1.40645,1.19339,0.01316,0.80407,0.71641,0.80373,0.54629,1.27074,0.936,0.01459,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,15223.9,1.40411,1.18367,0.01304,0.80188,0.71847,0.80531,0.54729,1.26972,0.93407,0.01457,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,15519.7,1.39206,1.17081,0.01293,0.80348,0.71698,0.80543,0.54741,1.26947,0.93227,0.01455,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,15816.5,1.39547,1.1587,0.01289,0.8058,0.71641,0.80641,0.54814,1.26905,0.93007,0.01453,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,16112.5,1.4022,1.16568,0.01312,0.80421,0.71892,0.80664,0.54834,1.26832,0.92717,0.01452,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,16407.3,1.38956,1.15226,0.01284,0.80528,0.72073,0.80677,0.5484,1.26712,0.92735,0.01449,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,16701.2,1.38614,1.16106,0.01286,0.80836,0.72027,0.80797,0.54957,1.26766,0.91956,0.01449,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,16998.4,1.38164,1.13902,0.01273,0.80657,0.72325,0.80867,0.55023,1.26792,0.91629,0.01448,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,17294.1,1.38848,1.14634,0.01284,0.80621,0.72456,0.80935,0.55088,1.26613,0.91683,0.01445,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,17590.2,1.37474,1.12709,0.01277,0.80849,0.72415,0.8094,0.55103,1.26394,0.91696,0.01443,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,17886.8,1.37005,1.12409,0.01262,0.80905,0.72298,0.8107,0.55179,1.26372,0.91081,0.01442,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,18181.5,1.37356,1.12525,0.01259,0.81456,0.7196,0.81149,0.55255,1.2636,0.90748,0.01443,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,18476,1.36078,1.12663,0.0125,0.81804,0.71896,0.81227,0.55323,1.26336,0.90308,0.01444,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,18772.4,1.36064,1.11846,0.01272,0.82133,0.71926,0.8129,0.55404,1.26292,0.89694,0.01444,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,19068.5,1.35433,1.11132,0.0124,0.81875,0.72073,0.8136,0.5544,1.26274,0.89247,0.01443,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,19363.6,1.36088,1.1044,0.01262,0.81945,0.72039,0.81391,0.55496,1.26138,0.8926,0.01442,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,19656,1.34148,1.1004,0.01231,0.81893,0.72095,0.81364,0.55529,1.26066,0.88925,0.01441,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,19949.2,1.34008,1.08706,0.01231,0.82057,0.72073,0.81482,0.5563,1.2617,0.88255,0.01443,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,20243.6,1.34067,1.08797,0.01236,0.82083,0.7208,0.81516,0.55678,1.26,0.87978,0.0144,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,20537.4,1.34716,1.08585,0.01241,0.8178,0.72287,0.81572,0.55775,1.25928,0.8773,0.01439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,20831.9,1.33279,1.06595,0.01223,0.82248,0.72318,0.81607,0.55799,1.25814,0.87539,0.01438,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
