epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,11457.6,1.23493,0.87458,0.01074,0.8993,0.80486,0.88484,0.63168,1.21279,0.73309,0.01379,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11650.1,1.24184,0.87292,0.01083,0.89172,0.81258,0.88529,0.63226,1.21055,0.73137,0.01377,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11842.5,1.23076,0.85664,0.01058,0.89951,0.80958,0.88694,0.63399,1.20824,0.72719,0.01374,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12033.1,1.21978,0.85952,0.01054,0.89948,0.81116,0.88738,0.63527,1.20544,0.72529,0.01371,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12226.2,1.21558,0.85016,0.01053,0.89652,0.81366,0.88735,0.63558,1.20251,0.72371,0.01366,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12417.7,1.21354,0.84938,0.01037,0.90147,0.81276,0.88816,0.63671,1.20024,0.72112,0.01365,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12611.3,1.21018,0.83185,0.01045,0.90731,0.80971,0.88812,0.63675,1.19914,0.71791,0.01362,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12802,1.20723,0.82483,0.01038,0.91031,0.81011,0.88965,0.638,1.19822,0.71399,0.01362,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12994.9,1.20096,0.81289,0.0104,0.90993,0.81216,0.88996,0.63881,1.19758,0.71125,0.01361,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13185.7,1.192,0.81309,0.0102,0.91064,0.81185,0.8901,0.63912,1.19537,0.70927,0.01358,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13379,1.17624,0.80572,0.01015,0.91145,0.81136,0.88994,0.63864,1.19397,0.70694,0.01355,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13570.1,1.17749,0.79872,0.0101,0.91352,0.80935,0.89029,0.63915,1.19266,0.70597,0.01353,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13763.4,1.16919,0.78808,0.01008,0.9134,0.81012,0.89086,0.63977,1.19217,0.7044,0.01353,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13953.3,1.17277,0.79547,0.01017,0.90894,0.81196,0.89087,0.64069,1.19204,0.70072,0.01352,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14146.7,1.16085,0.79302,0.0099,0.91238,0.81198,0.89139,0.64162,1.19064,0.6999,0.0135,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,14339.5,1.16005,0.76278,0.00986,0.91462,0.81135,0.89175,0.64257,1.18928,0.69812,0.01348,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,14531.7,1.15565,0.77003,0.00982,0.91147,0.81322,0.89219,0.6431,1.18794,0.69745,0.01344,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14724.3,1.14762,0.76843,0.00985,0.91694,0.81121,0.89293,0.64372,1.18618,0.69606,0.0134,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14915.8,1.12999,0.75455,0.00968,0.91841,0.81063,0.89332,0.64415,1.18494,0.69467,0.0134,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15109.4,1.13249,0.74625,0.00959,0.91183,0.81461,0.89366,0.64511,1.18363,0.69579,0.01337,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15299.2,1.13103,0.73523,0.0095,0.9104,0.81552,0.89392,0.64536,1.18258,0.69447,0.01335,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15492.4,1.12744,0.73075,0.00947,0.91226,0.81572,0.89382,0.64544,1.18194,0.69322,0.01335,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15684.1,1.11233,0.7335,0.00947,0.91241,0.81596,0.89441,0.64604,1.18079,0.69274,0.01332,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15877.5,1.10833,0.7278,0.00941,0.91365,0.81581,0.89493,0.64656,1.1793,0.69221,0.0133,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16068.2,1.10688,0.71914,0.00944,0.9108,0.82073,0.89511,0.6472,1.1791,0.68969,0.0133,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,16260.6,1.10505,0.70997,0.00925,0.90863,0.82238,0.89536,0.64712,1.17849,0.68801,0.0133,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16451.5,1.08561,0.70606,0.00921,0.90748,0.82428,0.89564,0.64754,1.17689,0.68729,0.01328,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16644.8,1.10334,0.7109,0.00914,0.90832,0.82513,0.89609,0.64766,1.17505,0.68619,0.01324,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16835.4,1.07573,0.69111,0.00904,0.91426,0.82105,0.89636,0.64839,1.17374,0.68539,0.01322,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17028.9,1.08465,0.69866,0.00909,0.91195,0.82132,0.89604,0.64865,1.17256,0.68591,0.01319,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,17220.9,1.07862,0.68504,0.00908,0.91231,0.82159,0.89626,0.64857,1.17161,0.68413,0.01318,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17413.2,1.06565,0.67164,0.00899,0.90411,0.82634,0.89639,0.64917,1.17159,0.68217,0.01318,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17624.3,1.04121,0.53868,0.01071,0.91132,0.82305,0.89702,0.65001,1.17034,0.68078,0.01316,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17814.7,1.01757,0.52211,0.01026,0.90472,0.82847,0.89751,0.65021,1.16897,0.67922,0.01313,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18008.1,1.00235,0.50712,0.01012,0.91581,0.82191,0.89797,0.64988,1.16767,0.67796,0.01312,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18197.4,0.99117,0.49646,0.01,0.91099,0.82397,0.8979,0.65008,1.16673,0.67761,0.01311,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18389.5,0.99104,0.4949,0.00996,0.90397,0.8319,0.89837,0.65053,1.16577,0.67545,0.01311,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18580.5,0.97697,0.4861,0.00976,0.9043,0.83173,0.89893,0.65127,1.16455,0.67418,0.01308,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18773.6,0.97324,0.48623,0.00978,0.9053,0.83092,0.89934,0.65194,1.16306,0.67373,0.01305,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18964.4,0.96573,0.47763,0.00965,0.9036,0.83413,0.89929,0.65238,1.162,0.67215,0.01304,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19156.6,0.95873,0.47373,0.00958,0.90333,0.83371,0.8994,0.65271,1.1601,0.67243,0.013,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19346.7,0.95671,0.47271,0.00953,0.90509,0.83385,0.8991,0.65282,1.15906,0.67138,0.01298,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
